 ,Family Name,Looked at?,Variation,Algo ID,Algorithm Description,Final Call,Exact Problem Statement?,Exact?,Time Complexity (Average),Average Case Distribution,Reference?,,Algorithm Name,Year,Paper/Reference Link,Constants,Derived?,Paper Reference for Constants,Time Complexity Improvement?,Transition Class,Time Complexity Class,Param: Time Class,Time Complexity (Worst Only),Parallel Algorithm Span/Depth,Span Encoding (T_1),Parallel Algorithm Span References,Parallel Algorithm Work,Work Encoding (T_inf),Parallel Algorithm Work References,Reference mentions work efficiency?,Parameter definitions,Preferred Parameter,Time Complexity Reference,Derived Time Complexity?,Computational Model,Model Encoding,Unit of Space,Space Complexity Class,Param: Space Class,Space Complexity (Auxiliary),Space Complexity Reference,Derived Space Complexity?,Space Complexity in Original Paper?,Interesting Space Complexity?,Randomized?,"Type of Randomized Algorithm (e.g. Las Vegas, Monte Carlo, Atlantic City)",Approximate?,Approximation Factor (if approximate algorithm),Heuristic-based?,Parallel?,"# of
Processors",# of Proc Encoding,Quantum?,GPU-based?,Other References,Problem Statement,Title,Authors,Notes,"Algorithm family
parameters",Description of Inputs,Ratios of input parameter sizes,Space n = 1000 value,Space n = 1000 rate,Space n = 10^6 value,Space n = 10^6 rate,Space n = 10^9 value,Space n = 10^9 rate,n = 1000 value,n = 1000 scale,n = 1000 Rate,n = 10^6 value,n = 10^6 scale,n = 10^6 Rate,n = 10^9 value,n = 10^9 scale,n = 10^9 Rate,Starting Complexity,Remarks,Papers for ratio evaluations,Domains
1,Sorting,1,Comparison Sorting,,,,,,,,,,"Miranker, Tang, Wong",1983,https://ieeexplore.ieee.org/abstract/document/5390461,,,,,,,,$O(n)$,$O(n)$,10,,$O(n^2)$,20,,,n: size of list,,,,hardware sorter,520,,,,,,,,,,,,,,1,$O(n)$,10,,,,,,,"Rezaul: Performs \Theta(n^2) work in \Theta(n) parallel time to sort n numbers. -added information, resolved",,,,,,,,,,,,,,,,,,,,,,
1,Sorting,1,Comparison Sorting,,,,,,,,,,Cyclic sort - Johnsson (1),1984,http://cs-www.cs.yale.edu/publications/techreports/tr439.pdf,,,,,,,,"O(n log n/p) when p<<n
O(log^2(n)) when n~=p",$O(\log^2{n})$,2,,"O(np log n/p) when p<<n
O(nlog^2(n)) when n~=p",,,,"n: size of list
p: number of processors (power of 2)",,,,MIMD,300,,,,,,,,,,,,,,1,p,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,Sorting,1,Comparison Sorting,,,,,,,,,,Consecutive sort - Johnsson (2),1984,http://cs-www.cs.yale.edu/publications/techreports/tr439.pdf,,,,,,,,"O(n log n/p) when p<<n
O(log^2(n)) when n~=p",$O(\log^2{n})$,2,,"O(np log n/p) when p<<n
O(nlog^2(n)) when n~=p",,,,"n: size of list
p: number of processors (power of 2)",,,,MIMD,300,,,,,,,,,,,,,,1,p,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,Sorting,1,Non-Comparison Sorting;,,,,,,,,,,Bucket sort - Johnsson (3),1984,http://cs-www.cs.yale.edu/publications/techreports/tr439.pdf,,,,,,,,"O(n/p+L) when p<=L
O(n/p+L+log p log L) when p>L",O(n/p+L+log p log L) when p>L,,,"O(n+pL) when p<=L
O(n+pL+plog p log L) when p>L",,,,"n: size of list
p: number of processors (power of 2)
L: number of buckets elements are sorted into",,,,MIMD,300,,,,,,,,,,,,,,1,p,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,Sorting,1,Comparison Sorting,,,,,,,,,,"re-circulating systolic sorter (RSS) - Wong, Ito",1984,https://academic.oup.com/comjnl/article/27/3/260/367818,,,,,,,,$O(n)$,$O(n)$,10,,$O(n^2)$,20,,,n: size of list,,,,sorting network,510,,,,,,,,,,,,,,1,$O(n)$,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,Sorting,1,Non-Comparison Sorting; Integer Sorting,,integer sort,,,,,,,,Reif,1985,https://ieeexplore.ieee.org/abstract/document/4568176,,,,,,,,$O(\log{n})$,$O(\log{n})$ expected,1,,$O(n)$ expected,10,,"""optimal"" - efficiency=1",n: size of list,,,,Parallel RAM,100,,,,,,,,,1,,,,,1,$n/ \log{n}$,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,Sorting,1,Comparison Sorting,,,,,,O(log n),,,,Reischuk,1985,https://epubs.siam.org/doi/abs/10.1137/0214030,,,,,,,,$O(\log{n})$ whp,$O(\log{n})$ expected,1,,$O(n \log{n})$ expected,11,,,n: size of list,,,,PRAM,100,,,,,,,,,1,,,,,1,$n$,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,Sorting,1,Comparison Sorting,,,,,,,,,,n-sorter - Tseng and Lee,1985,https://link.springer.com/article/10.1007/BF00991185,,,,,,,,$O(n \log^2{mn} / \log^2{n})$,$O(n \log^2{mn} / \log^2{n})$,,,$O(n^{\log{m}/ \log{n}} \log^2{mn} / \log^2{n})$,,,,"n: arbitrary number
nm: size of list
k: number of n sorters (?)",,,,hardware sorter ?,520,,,,,,,,,,,,,,1,nm,,,,,,,,"Rezaul: The summations on page 465 leads to bounds that are tighter than the bounds given in the paper. The total number of n-sorter required is O(m * (log(m) / log(n))^2) as opposed to O(m * (log(mn))^2) given in the paper, and the time complexity is O(n * (log(m) / log(n))^2) as opposed to O(n * (log(mn))^2). The summation given for the number of n-sorters should go from i = 1 to k (instead of i = 0 to k - 1). The solution to the recurrence M(nm) is correct. The analysis given in the paper basically shows that the algorithm sorts n^k numbers using \Theta((n^{k-1}) k^2)  n-sorters, and assuming an n-sorter takes O(1) time to execute the time complexity of the algorithm is \Theta(n k^2). In that case, the total work is asymptotically the same as the total number of n-sorters needed, i.e., \Theta((n^{k-1}) k^2). Since mn = n^k, we have k = log(mn) / log(n) = 1 + log(m)/log(n).",,,,,,,,,,,,,,,,,,,,,,
1,Sorting,1,Comparison Sorting,,,,,,,,,,"Lang, Schimmler, Schmeck and Schroder",1985,https://ieeexplore.ieee.org/abstract/document/1676603/,7,,https://ieeexplore.ieee.org/abstract/document/1676603/,,,,,$O(n^(1/2))$,$O(n^(1/2))$,6,,$O(n^(3/2))$,16,,,n: size of list,,,,network or hardware (VLSI) sorter ?,520,,,,,,,,,,,,,,1,n,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,Sorting,1,Non-Comparison Sorting,,,,,,,,,,"Owens, JaJa",1985,https://ieeexplore.ieee.org/abstract/document/5009391,,,,,,,,$O(n +n^2/p^2)$,$O(n)$,10,,$O(np +n^2/p)$,,,,"n: size of list
p: number of processors
1<=p<=n",,,,sorting network (serial memories),510,,,,,,,,,,,,,,1,p,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,Sorting,1,Non-Comparison Sorting,,,,,,,,,,"Owens, JaJa",1985,https://ieeexplore.ieee.org/abstract/document/5009391,,,,,,,,$O(n/p^{1/2} +n^2/p^2)$,$O(n^{1/2})$,6,,$O(n p^{1/2} +n^2/p)$,,,,"n: size of list
p: number of processors
1<=p<=n",,,,sorting network (serial memories),510,,,,,,,,,,,,,,1,p,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,Sorting,1,Comparison Sorting,,,,,,,,,,Rudolph,1985,https://ieeexplore.ieee.org/abstract/document/5009383,,,,,,,,$O(\log^2{n})$,$O(\log^2{n})$,2,,$O(n \log^2{n})$,12,,,n: size of list,,,,sorting network (fault tolerant),510,,,,,,,,,,,,,,1,$n/2$,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,Sorting,1,Comparison Sorting,,,,,,,,,,Han,1985,http://h.web.umkc.edu/hanyij/html/research/icpp85.pdf,,,,,,,,$O(1/ \alpha \log{n})$,$O(\log{n} \log{\log{n}})$,1.1,,$O(1/ \alpha n \log^(\alpha+1){n})$,,,,"n: size of list
alpha: arbitrary positive number <1
but O(log n loglog n)<=O(1/alpha log n) ??",,,,CREW PRAM,120,,,,,,,,,,,,,,1,$O(n \log^\alpha{n})$,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,Sorting,1,Comparison Sorting,,,,,,,,,,parallel internal shuffle sort - Menon,1986,https://www.vldb.org/conf/1986/P197.PDF,,,,,,,,$n/p(C+V)(\log{p} + \log^2{p}) + n/pV + n/p \log{n/(pk)}C,$k(C + V)(\log{n/k)} + \log^2{n/k}) + kV$,,,$nV + n \log{n/k}C$,,,,"n - size of list
p - number of processors
M=n/p - number of records per processor
B=n/pk - number of pages per processor local memory
k - number of records per page  (M=Bk)
C- time to compare two keys
V - time to move a record in memory",,,,"""internal sorting""",,,,,,,,,,,,,,,1,p,,,,,,,,"Rezaul: Work is nV + n log(n/k)C which is obtained by putting p = 1 in the parallel running time. This makes sense as when there is only one processor there will be on exhange operation at all and as a results the n/p(C+V)(log p + log^2 p) part of the parallel running time will vanish. The rest of the terms account for the local sort which merges the n/k sorted pages.                  To obtain span note that for this algorithm, T_infinity = T_{n/k} as you cannot use more than n/k processors (each processor must process at least one page). So, T_infinity = k(C + V)[log(n/k) + log^2(n/k)] + kV.",,,,,,,,,,,,,,,,,,,,,,
1,Sorting,1,Comparison Sorting,,,,,,,,,,parallel odd even external sort - Menon,1986,https://www.vldb.org/conf/1986/P197.PDF,,,,,,,,$(N/(2p)\log{N/(2p)}+N)C$,$NC$,,,$((N/2) \log{N/2}+N)C$,,,,"N: number of pages
p: number of processors
C: time to read, merge and write 2 pages",,,,"""external sorting""",,,,,,,,,,,,,,,1,p,,,,,,,,Rezaul: Work is ((N/2)log(N/2)+N)C which is obtained by setting p=1 in the parallel running time. Span is NC. ,,,,,,,,,,,,,,,,,,,,,,
1,Sorting,1,Comparison Sorting,,,,,,,,,,parallel B-ary odd even sort - Menon,1986,https://www.vldb.org/conf/1986/P197.PDF,,,,,,,,$(N/(Bp) \log_B{N/(Bp)}+(2N)/B)C_B$,$(2N/B)C_B$,,,$((N/B) \log_B{N/B}+(2N)/B)C_B$,,,,"N: number of pages
p: number of processors
B: number of pages per processor local memory
C: time to read, merge and write 2 pages",,,,"""external sorting""",,,,,,,,,,,,,,,1,p,,,,,,,,Rezaul: Work is ((N/B)log_B(N/B)+(2N)/B)C_B which is obtained by setting p=1 in the parallel running time. Span is (2N/B)C_B.,,,,,,,,,,,,,,,,,,,,,,
1,Sorting,1,Non-comparison Sorting; Integer Sorting,,,,,,,,,,"Wagner, Han",1986,http://h.web.umkc.edu/hanyij/html/research/icpp86.pdf,,,,,,,,O(ceiling(log m/ log(n/p + log p))(n/p+log p),"O(celing(log m/loglog n)log n) ?? [assumed n=p, could have a better result]",,,O(ceiling(log m/ log(n/p + log p))(n+p log p),,,yes,"n: size of list (ints in range 1,2,...m)
p: number of processors",,,,"EREW, CREW PRAM",110,,,,,,,,,,,,,,1,p,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,Sorting,1,Comparison Sorting,,,,,,,,,,"Schnorr, Shamir",1986,https://dl.acm.org/doi/pdf/10.1145/12130.12156,3,https://dl.acm.org/doi/pdf/10.1145/12130.12156,,,,,,$O(n^{1/2})$,$O(n^{1/2})$,6,,$O(n^{3/2})$ ?,16,,,n: size of list,,,,"sorting network, suitable for VLSI",510,,,,,,,,,,,,,,1,$n$ ?,10,,,also mentions lower bounds,,,,,,,,,,,,,,,,,,,,,,,,,,
1,Sorting,1,Comparison Sorting,,,,,,,,,,Kunde,1986,https://link.springer.com/chapter/10.1007/3-540-16811-7_187,12,https://link.springer.com/chapter/10.1007/3-540-16811-7_187,,,,,,$O(n^{1/3})$,$O(n^{1/3})$,,,$O(n^{4/3})$,,,,n: size of list,,,,sorting network,510,,,,,,,,,,,,,,1,$n$ ?,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,Sorting,0.001,,,,,,,,,,,"2-way sorter - Akl, Schmeck",1986,https://www.sciencedirect.com/science/article/pii/0167819186900037?via%3Dihub,,,,,,,,((ceiling(m/2)+1)n+k)t,,,,,,,,"n: length of each sequence
m: number of sequences
k: bits of each number in sequence
a: area of bit-level building block
t: time of bit-level building block",,,,hardware sorter; systolic architecture,,,,,,,,,,,,,,,,area=n(k+1)a/2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,Sorting,0.001,,,,,,,,,,,"Alon, Azar, Vishkin",1986,https://ieeexplore.ieee.org/abstract/document/4568241,,,,,,,,k rounds,O(1) ?,,,O(n^(1+1/k)) expected,,,,"n: size of list
p: number of processors
k: number of rounds (k>=1)",,,,PRAM,,,,,,,,,,1,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,Sorting,1,Non-Comparison Sorting; Integer Sorting,,,,,,,,,,"Tsukennan, Gray, Stewart, Uren, Vaughan",1986,https://citeseerx.ist.psu.edu/viewdoc/download?repid=rep1&type=pdf&doi=10.1.1.588.7564,,,,,,,,$O(\log{n})$,$O(\log{n})$,1,,$O(n \log{\log{n}} $,10.1,,,n: number of integers (of size polynomial in n),,,,CRCW PRAM,130,,,,,,,,,,,,,,1,$O(n \log{log{n}}/ \log{n})$,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,Sorting,1,Non-Comparison Sorting; Integer Sorting,,,,,,,,,,Hagerup,1987,https://www.sciencedirect.com/science/article/pii/0890540187900629,,,,,,,,$O(\log{n})$,$O(\log{n})$,1,,$O(n \log{\log{n}} $,10.1,,yes,n: size of list,,,,CRCW PRAM,130,,,,,,,,,,,,,,1,$O(n \log{log{n}}/ \log{n})$,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,Sorting,1,Comparison Sorting,,,,,,,,,,"Akl, Santoro",1987,https://ieeexplore.ieee.org/abstract/document/5009478,,,,,,,,$O(\log^2{p}+n/p \log{n})$,$O(\log^2{n})$ ??,2,,$O(p \log^2{p}+n \log{n})$,,,optimal when p<=n/log^2(n),"n: size of list
p: number of processors",,,,EREW PRAM,110,,,,,,,,,,,,,,1,p,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,Sorting,1,Comparison Sorting,,,,,,,,,,paralleldouble distributive partitioning sort - Noga,1987,https://link.springer.com/article/10.1007/BF01933729,,,,,,,,$O(n)$,$O(n)$,10,,$O(n^2)$,20,,,"n: size of list
p: number of processors",,,,MIMD,300,,,,,,,,,,,,,,1,p,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,Sorting,1,Comparison Sorting,,,,,,,,,,Kunde,1988,https://link.springer.com/chapter/10.1007/BFb0040409,,,,,,,,$rn+O(n^{1-1/r})$,$rn+O(n^{1-1/r})$,,,$rn^2+O(n^{2-1/r})$,,,yes,"n: size of list
r: dimensions of processor mesh",,,,MIMD + describes comp model w/ assumptions,300,,,,,,,,,,,,,,,n,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,Sorting,1,Comparison Sorting,,,,1,1,O(logn),,,[https://epubs.siam.org/doi/abs/10.1137/0217049 Parallel Merge Sort - Cole (1) (1988)],Parallel Merge Sort - Cole (1),1988,https://epubs.siam.org/doi/abs/10.1137/0217049,5/2,,https://epubs.siam.org/doi/abs/10.1137/0217049,,,,,$O(\log{n})$,$O(\log{n})$,1,https://epubs.siam.org/doi/abs/10.1137/0217049,$O(n \log{n})$,11,https://epubs.siam.org/doi/abs/10.1137/0217049,yes?,n: size of list,,,,CREW PRAM,120,words,,,,,,,,0,,0,,0,1,n,10,0,0,"classified as ""merge based multi-step"" in https://dl.acm.org/doi/pdf/10.1145/181014.192329",A sorting algorithm is an algorithm that puts elements of a list in a certain order.,,,,,,,,,,,,,,,,,,,,,,,,,
1,Sorting ,1,Comparison Sorting,,,,1,1,O(logn),,,[https://epubs.siam.org/doi/abs/10.1137/0217049 Parallel Merge Sort - Cole (2) (1988)],Parallel Merge Sort - Cole (2),1988,https://epubs.siam.org/doi/abs/10.1137/0217049,5,,https://epubs.siam.org/doi/abs/10.1137/0217049,,,,,$O(\log{n})$,$O(\log{n})$,1,https://epubs.siam.org/doi/abs/10.1137/0217049,$O(n \log{n})$,11,https://epubs.siam.org/doi/abs/10.1137/0217049,yes?,n: size of list,,,,EREW PRAM,110,words,,,,,,,,0,,0,,0,1,n,10,0,0,"classified as ""merge based multi-step"" in https://dl.acm.org/doi/pdf/10.1145/181014.192329",A sorting algorithm is an algorithm that puts elements of a list in a certain order.,,,,,,,,,,,,,,,,,,,,,,,,,
1,Sorting,1,Comparison Sorting,,,,,,,,,,Francis and Mathieson,1988,https://ieeexplore.ieee.org/abstract/document/9738,,,,,,,,$O(n \log{n}/p + n \log{p}/p)$,$O(\log{n})$,1,,$O(n \log{n})$,11,,yes,"n: size of list
p: number of processors",,,,MIMD,300,,,,,,,,,,,,,,1,p,,,,space complexity = 2n,,,,,,,,,,,,,,,,,,,,,,,,,,
1,Sorting,1,Comparison Sorting,,,,,,,,,,parallel shellsort - Quinn,1988,https://www.sciencedirect.com/science/article/pii/0167819188900750,,,,,,,,$O(n^{3/2})$,$O(n^{3/2})$,16,,$O(p n^{3/2})$,,,,"n: size of list
p: number of processors",,,,"""tightly coupled multiprocessor model""",,,,,,,,,,,,,,,1,p,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,Sorting,1,Comparison Sorting,,,,,,,,,,Quicksort with quickmerge - Quinn,1988,https://www.sciencedirect.com/science/article/pii/0167819188900750,,,,,,,,$O((n/p)^2+p \log{n/p}+n \log{p} + p)$,O(n \log{n}),11,,$O(n^2/p+p^2 \log{n/p}+np \log{p} + p^2)$,,,,"n: size of list
p: number of processors",,,,"""tightly coupled multiprocessor model""",,,,,,,,,,,,,,,1,p,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,Sorting,0.001,,,,,,,,,,,"Balanced bin sort - Won, Sahni",1988,https://link.springer.com/article/10.1007/BF00156678,,,,,,,,O((n/p)^2+p log p) ?,O(n log n) ?,,,O(n^2/p+p^2 log p) ?,,,,"n: size of list
p: number of processors",,,,"sorting network, hypercube multicomputer",,,,,,,,,,,,,,,1,p,,,,discusses space complexity,,,,,,,,,,,,,,,,,,,,,,,,,,
1,Sorting,0,,,,,,,,,,,Jagadish,1988,https://www.computer.org/csdl/proceedings-article/iccd/1988/00025654/12OmNwdtwk0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,Sorting,1,Non-Comparison Sorting; Integer Sorting,,,,,,O(log n),,,,"Rajesekaran, Reif",1989,https://epubs.siam.org/doi/abs/10.1137/0218041,,,,,,,,$O(\alpha \log{n})$ w/ high $(1-n^(-\alpha))$ probability,$O(\log{n})$ expected,1,,$O(n)$ expected,10,,,"n: size of list
\alpha>1",,,,CRCW PRAM,130,,,,,,,,,1,,,,,1,$n/ \log{n}$,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,Sorting,1,Comparison Sorting,,,,,,O(log n /loglog n),,,,"Rajesekaran, Reif",1989,https://epubs.siam.org/doi/abs/10.1137/0218041,,,,,,,,$O(\alpha \log{n} / \log{\log{n}})$ w/ high $(1-n^{-\alpha})$ probability,$O(\log{n}/ \log{log{n}})$ expected,0.9,,$O(n(\log{n})^(1+\epsilon)/ \log{\log{n}})$ expected,,,,"n: size of list
epsilon>0
alpha>1",,,,CRCW PRAM,130,,,,,,,,,1,,,,,1,$n (\log{n})^\epsilon,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,Sorting,1,Non-Comparison Sorting; Integer Sorting,,,,,,O(log n /loglog n),,,,"Rajesekaran, Reif",1989,https://epubs.siam.org/doi/abs/10.1137/0218041,,,,,,,,$O(\alpha \log{n} / \log{log{n}}) w/ high $(1-n^{-\alpha})$ probability,$O(\log{n}/ \log{log{n}})$ expected,0.9,,$O(n \log{\log{n}})$ expected,10.1,,,"n: size of list
alpha>1",,,,CRCW PRAM,130,,,,,,,,,1,,,,,1,$n(\log{\log{n}})^2/\log{n}$,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,Sorting,0.001,,,,,,,,,,,"shearsort - Scherson, Sen",1989,https://ieeexplore.ieee.org/abstract/document/16500,,,,,,,,,,,,,,,,,,,,"SIMD, MIMD",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,Sorting,1,Comparison Sorting,,,,,,,,,,"Hagerub, Rub",1989,https://www.sciencedirect.com/science/article/pii/0020019089901385,,,,,,,,$O(\log^2{n})$,$O(\log^2{n})$,2,,$n \log{n} +O(n \log{\log{n}})$,11,https://www.sciencedirect.com/science/article/pii/0020019089901385,yes,,,,,EREW PRAM,110,,,,,,,,,,,,,,1,$O(n/ \log{n})$,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,Sorting,1,Comparison Sorting,17,,,1,1,O(log²n),,,"[https://epubs.siam.org/doi/abs/10.1137/0218014 Bitonic Merge Sort Parallel Implementation - Bilardi, Nicolau (1989)]","Bitonic Merge Sort Parallel Implementation - Bilardi, Nicolau",1989,https://epubs.siam.org/doi/abs/10.1137/0218014,2,,https://epubs.siam.org/doi/abs/10.1137/0218014,0,0,2,n: 2,$O((n \log{n})/p)$,$O(\log^2{n})$,2,https://epubs.siam.org/doi/abs/10.1137/0218014,$O(n \log{n})$,11,https://epubs.siam.org/doi/abs/10.1137/0218014,no,"n: size of list
p: number of processors",n,,,PRAC (shared-memory multiprocessor of the EREW PRAM variety),110,words,1,n: 1,O(1),"Paper claims ""logspace uniform"", so with O(log n) words, this is constant # of words",0,1,,0,,0,,0,1,"p, at most $O(n/ \log{n})$",,0,0,-,A sorting algorithm is an algorithm that puts elements of a list in a certain order.,,,,1,n is the size of the array to be sorted.,,,,,,,,9965,100.3512293,,,,,,,,4,,,Combinatorics
1,Sorting,1,Non-Comparison Sorting; Integer Sorting,,,,,,,,,,Parallel iterated bucket sort - Chlebus,1989,https://www.sciencedirect.com/science/article/pii/0020019089901208,,,,,,,,$O(\log{n})$,$O(\log{n})$,1,,$O(n)$,10,,,"n: size of list
(polynomial range integers ?)",,,,CRCW PRAM,130,,,,,,,,,1,,,,,1,$O(n/ \log{n})$,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,Sorting,1,Comparison Sorting,,,,,1,O(n/p log p +log^3(p) loxg(n/p)),,,,SmoothSort - Plaxton (adaptive),1989,https://www.proquest.com/docview/303808287?pq-origsite=gscholar&fromopenview=true,,,,,,,,$O(n/p \log^2{p}/ \loxg{n/p} + \log^3{p} \loxg{n/p})$,$O(\log^3{n})$ ?,3,,$O(n \log^2{p}/ \loxg{n/p} + p \log^3{p} \loxg{n/p})$,,,,"n: size of list
p: number of processors (upper bound n=pq ?)",,,,sorting network,510,,,,,,,,,,,,,,1,p,,,,"classified as ""merge based multi-step"" in https://dl.acm.org/doi/pdf/10.1145/181014.192329",,,,,,,,,,,,,,,,,,,,,,,,,,
1,Sorting,1,Comparison Sorting,,,,,,,,,,SmoothSort - Plaxton (nonadaptive),1989,https://www.proquest.com/docview/303808287?pq-origsite=gscholar&fromopenview=true,,,,,,,,$O(n/p \log^2{p} / \log{n/(p \log{p})})$,$O(\log^2{n}/ \log{log{n}})$ ?,,,$O(n \log^2{p} / \log{n/(p \log{p})})$,,,,"n: size of list
p: number of processors",,,,sorting network,510,,,,,,,,,,,,,,1,p,,,,"classified as ""merge based multi-step"" in https://dl.acm.org/doi/pdf/10.1145/181014.192329",,,,,,,,,,,,,,,,,,,,,,,,,,
1,Sorting,1,Comparison Sorting,,,,,,,,,,SquareSort - Plaxton,1989,https://www.proquest.com/docview/303808287?pq-origsite=gscholar&fromopenview=true,,,,,,,,$O(\log^2{n})$,$O(\log^2{n})$,2,,$O(n \log^2{n})$,12,,,n: size of list,,,,sorting network,510,,,,,,,,,,,,,,1,$n$,10,,,"classified as ""merge based multi-step"" in https://dl.acm.org/doi/pdf/10.1145/181014.192329",,,,,,,,,,,,,,,,,,,,,,,,,,
1,Sorting,1,Comparison Sorting,,,,,,O(n/p log(n/p) t_c +n/p t_s/r),,,,"parallel binsort 0 - Seidel, George (1)",1989,https://dl.acm.org/doi/abs/10.1145/63047.63102,,,,,,,,,$O(1)$ expected ?,0,,$O(n \log{n/p} t_c +n t_s/r)$ expected,,,yes,"n: size of list
p=2^d (d-dimensional): number of processors
t_c: unit of computational cost
t_s/r unit of simultaneuos send and recieve cost",,,,sorting network (hypercube),510,,,,,,,,,,,,,,1,p,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,Sorting,1,Comparison Sorting,,,,,,O(n/p log n t_c +n/p t_s/r),,,,"parallel binsort 1 - Seidel, George (2)",1989,https://dl.acm.org/doi/abs/10.1145/63047.63102,,,,,,,,,$O(\log{n})$ expected ?,1,,$O(n \log{n} t_c +n t_s/r)$ expected,,,yes,"n: size of list
p=2^d (d-dimensional): number of processors
assumes sample size s<<m/n
t_c: unit of computational cost
t_s/r unit of simultaneuos send and recieve cost",,,,sorting network (hypercube),510,,,,,,,,,1,,,,,1,p,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,Sorting,1,Comparison Sorting,,,,,,O(n/p log n t_c +n/p t_s/r),,,,"parallel binsort 2 - Seidel, George (3)",1989,https://dl.acm.org/doi/abs/10.1145/63047.63102,,,,,,,,,$O(\log{n})$ expected ?,1,,$O(n \log{n} t_c +n t_s/r)$ expected,,,yes,"n: size of list
p=2^d (d-dimensional): number of processors
assumes sample size s<<m/n
t_c: unit of computational cost
t_s/r unit of simultaneuos send and recieve cost",,,,sorting network (hypercube),510,,,,,,,,,1,,,,,1,p,,,,https://dl.acm.org/doi/abs/10.1145/800221.806719,,,,,,,,,,,,,,,,,,,,,,,,,,
1,Sorting,1,Comparison Sorting,,,,,,,,,,"Periodic Balanced Sorting Network - Dowd, Perl, Rudolph, Saks",1989,https://dl.acm.org/doi/abs/10.1145/76359.76362,,,,,,,,$O(\log^2{n})$,$O(\log^2{n})$,2,,$O(n \log^4{n})$,14,,,n: size of list,,,,sorting network,510,,,,,,,,,,,,,,1,$n/2 \log^2{n}$,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,Sorting,1,Comparison Sorting,,,,,,,,,,"Aggarwal, Chandra, Snir",1989,https://dl.acm.org/doi/pdf/10.1145/72935.72937,,,,,,,,$O(n \log{n} /p + l \log{p})$,$O(l \log{n})$,,https://dl.acm.org/doi/pdf/10.1145/72935.72937,$O(np \log{n}/p + lp \log{p})$,,,,"n: size of list
p: number of processors
l: number of elements in a block ?
",,,,Block PRAM,100,,,,,,,,,,,,,,1,p,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,Sorting,1,Comparison Sorting,,,,,,O(log n),,,,"Martel, Gusfield",1989,https://www.sciencedirect.com/science/article/pii/0020019089901166,3 ?,,https://www.sciencedirect.com/science/article/pii/0020019089901166 (based on https://dl.acm.org/doi/abs/10.1145/5925.5930 ),,,,,$O(\log{n})$ expected,$O(\log{n})$ expected,1,,$O(n \log{n})$ expected,11,,,n: size of list,,,,CRCW PRAM,130,,,,,,,,,1,,,,,1,$n$,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,Sorting,1,Comparison Sorting,,,,,,,,,,"Goodrich, Kosaraju",1989,https://citeseerx.ist.psu.edu/document?repid=rep1&type=pdf&doi=88c772d8772499449809af592f765e35b28e124e,,,,,,,,$O(\log{n})$,$O(\log{n})$,1,,$O(n \log{n})$,11,,,n: size of list,,,,EREW and CREW Parallel Pointer Machine (PPM),,,,,,,,,,,,,,,1,$O(n)$,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
